moy,Accessible suburbia,Concentrated urbanity,Connected residential neighbourhoods,Countryside agriculture,Dense residential neighbourhoods,Dense urban neighbourhoods,Disconnected suburbia,Gridded residential quarters,Hyper concentrated urbanity,Local urbanity,Metropolitan urbanity,Open sprawl,Regional urbanity,Urban buffer,Warehouse/Park land,Wild countryside
2007-05,968.0,14.0,288.0,915.0,729.0,704.0,418.0,242.0,4.0,479.0,19.0,1933.0,169.0,1775.0,396.0,83.0
2007-06,1501.0,7.0,493.0,1319.0,991.0,859.0,698.0,461.0,4.0,596.0,37.0,3210.0,181.0,2862.0,635.0,84.0
2007-07,764.0,8.0,223.0,679.0,572.0,564.0,448.0,172.0,2.0,335.0,13.0,1563.0,116.0,1567.0,295.0,58.0
2007-08,759.0,7.0,250.0,630.0,484.0,484.0,372.0,170.0,2.0,254.0,22.0,1462.0,114.0,1360.0,265.0,41.0
2007-09,714.0,7.0,215.0,553.0,491.0,545.0,341.0,242.0,1.0,228.0,36.0,1434.0,71.0,1341.0,311.0,58.0
2007-10,759.0,9.0,244.0,529.0,561.0,584.0,452.0,219.0,1.0,429.0,17.0,1593.0,98.0,1446.0,391.0,39.0
2007-11,614.0,4.0,283.0,626.0,540.0,467.0,417.0,242.0,,394.0,19.0,1497.0,147.0,1622.0,409.0,29.0
2007-12,989.0,7.0,359.0,748.0,771.0,626.0,579.0,309.0,,444.0,17.0,2372.0,175.0,2127.0,658.0,37.0
2008-01,302.0,2.0,121.0,334.0,374.0,244.0,196.0,123.0,1.0,139.0,3.0,824.0,68.0,901.0,309.0,39.0
2008-02,404.0,3.0,180.0,394.0,468.0,292.0,226.0,125.0,1.0,191.0,6.0,1008.0,97.0,879.0,277.0,50.0
2008-03,652.0,14.0,327.0,522.0,565.0,441.0,351.0,224.0,,293.0,14.0,1634.0,78.0,1368.0,331.0,46.0
2008-04,877.0,3.0,183.0,481.0,540.0,495.0,324.0,180.0,,237.0,9.0,1808.0,72.0,1582.0,514.0,44.0
2008-05,740.0,13.0,233.0,554.0,694.0,443.0,361.0,193.0,,220.0,7.0,1667.0,105.0,1515.0,505.0,43.0
2008-06,1122.0,9.0,276.0,733.0,846.0,639.0,589.0,299.0,,359.0,23.0,2510.0,123.0,1998.0,551.0,46.0
2008-07,587.0,2.0,178.0,519.0,496.0,352.0,285.0,158.0,,275.0,13.0,1278.0,102.0,1010.0,279.0,26.0
2008-08,589.0,3.0,151.0,436.0,393.0,336.0,244.0,190.0,,175.0,10.0,1157.0,70.0,1115.0,304.0,30.0
2008-09,709.0,1.0,188.0,448.0,468.0,300.0,252.0,169.0,,219.0,17.0,1297.0,67.0,1178.0,329.0,18.0
2008-10,691.0,47.0,166.0,422.0,502.0,379.0,338.0,189.0,1.0,249.0,11.0,1324.0,63.0,1103.0,325.0,31.0
2008-11,605.0,33.0,180.0,470.0,488.0,376.0,277.0,138.0,,172.0,13.0,1221.0,50.0,1044.0,272.0,15.0
2008-12,862.0,6.0,302.0,577.0,697.0,547.0,454.0,283.0,1.0,355.0,11.0,1792.0,67.0,1639.0,415.0,26.0
2009-01,332.0,2.0,98.0,198.0,271.0,163.0,186.0,112.0,,109.0,5.0,754.0,30.0,584.0,144.0,12.0
